Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ ID,FVE ID,DFM ID,species,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas,...20
FLL-C,Laguna,C,07/10/22,3,A,406,priach,priach,priach,priach,0003,4.2,Y,Y,N,401,NA,NA,NA
FLL-C,Laguna,C,05/10/22,1,A,347,priach,priach,priach,priach,0003,3.6,Y,Y,N,346,NA,NA,NA
FLL-V,Laguna,V,07/10/22,2,A,416,priach,priach,priach,priach,0020,2.3,Y,Y,N,416,NA,NA,NA
FLL-V,Laguna,V,03/10/22,2,A,302,priach,priach,priach,priach,0020,3.7,Y,Y,N,302,NA,NA,NA
FLL-V,Laguna,V,03/10/22,1,C,296,priach,priach,priach,priach,0020,2.4,Y,Y,N,296,NA,NA,NA
FLL-V,Laguna,V,03/10/22,3,D,310,priach,priach,priach,priach,0020,4,Y,Y,N,310,NA,NA,NA
FLL-V,Laguna,V,05/10/22,3,A,380,priach,priach,priach,priach,0020,2.7,Y,Y,N,345,NA,NA,NA
FLL-V,Laguna,V,07/10/22,2,D,417,priach,priach,priach,priach,0020,2.4,Y,Y,N,R70,NA,NA,NA
FLL-V,Laguna,V,07/10/22,4,B,424,priach,priach,priach,priach,0020,2.2,Y,Y,N,424,NA,NA,NA
FLL-V,Laguna,V,03/10/22,2,A,300,priach,priach,priach,priach,0020 + 0005 + 0002,2.9,Y,Y,N,292,NA,mal corte,NA
FLL-V,Laguna,V,05/10/22,1,B,363,priach,priach,priach,priach,0020,2.8,Y,Y,N,363,NA,NA,NA
FLL-V,Laguna,V,05/10/22,3,B,382,priach,priach,priach,priach,0020,4.1,Y,Y,N,382,NA,NA,NA
GP-C,Aniseto-Caucho,C,21/11/22,2,C,879,priach,priach,priach,priach,4000,2.8,Y,Y,N,879,NA,NA,NA
GP-C,Aniseto-Caucho,C,23/11/22,3,C,928,priach,priach,priach,priach,4000,3.7,Y,Y,N,921,NA,NA,NA
GP-C,Aniseto-Caucho,C,25/11/22,2,B,962,priach,priach,priach,priach,4000,2.6,Y,Y,N,962,NA,NA,NA
GP-C,Aniseto-Caucho,C,23/11/22,3,C,927,priach,priach,priach,priach,4000,2.6,Y,Y,N,R193,NA,NA,NA
GP-C,Aniseto-Caucho,C,25/11/22,4,B,966,priach,priach,priach,priach,4000,2.3,Y,Y,N,963,NA,NA,NA
GP-C,Aniseto-Caucho,C,23/11/22,4,C,933,priach,priach,priach,priach,4000,2.6,Y,Y,N,921,NA,NA,NA
GP-C,Aniseto-Caucho,C,21/11/22,4,D,885,priach,priach,priach,priach,4000,2.8,Y,Y,N,879,NA,NA,NA
GP-C,Aniseto-Caucho,C,21/11/22,3,B,881,priach,priach,priach,priach,4000,2.5,Y,Y,N,880,NA,NA,NA
GP-C,Aniseto-Caucho,C,23/11/22,3,C,929,priach,priach,priach,priach,4000,3,Y,Y,N,R193,NA,NA,NA
GP-C,Aniseto-Caucho,C,21/11/22,1,B,874,priach,priach,priach,priach,4000,2.9,Y,Y,N,874,NA,NA,NA
JZ-C,Estacion,C,05/09/22,1,C,49,priach,priach,priach,priach,0005,4.2,Y,Y,N,49,NA,NA,NA
JZ-C,Estacion,C,02/09/22,2,D,22,priach,priach,priach,priach,0005,2.6,Y,Y,N,22,NA,NA,NA
JZ-C,Estacion,C,07/09/22,2,A,82,priach,priach,priach,priach,0005,1.7,Y,Y,N,82,NA,NA,NA
JZ-C,Estacion,C,05/09/22,2,B,50,priach,priach,priach,priach,0005,2.6,Y,Y,N,50,NA,NA,NA
